id,gender,first_name,last_name,salary,bonus,total
1,M,Chris,Young,148224,17915,166139
2,M,Aaron,Dixon,140033,43984,184017
3,F,Gloria,Ellis,56699,9984,66683
4,M,Walter,Peters,120755,25898,146653
5,M,Alan,Perry,69688,39503,109191
6,F,Julia,Wheeler,92474,40817,133291
7,M,Andrew,Snyder,148146,13955,162101
8,F,Sandra,Crawford,130886,31836,162722
9,F,Doris,Robertson,134773,35459,170232
10,F,Anne,Sims,145625,29096,174721
11,F,Donna,Andrews,158636,34137,192773
12,F,Rachel,Stewart,172026,21783,193809
13,M,Raymond,Jackson,93269,21668,114937
14,F,Diane,Bishop,127265,59384,186649
15,M,Clarence,Graham,155617,58118,213735
16,F,Shirley,Reed,162917,85606,248523
17,M,Richard,Palmer,64874,36023,100897
18,F,Brenda,Rogers,138748,40627,179375
19,M,Joseph,Carr,102468,55064,157532
20,M,Wayne,Alexander,122967,15803,138770
21,F,Diane,Reyes,109430,47588,157018
22,F,Denise,Romero,-3925,45705,41780
23,M,Albert,Hudson,143841,31780,175621
24,F,Linda,Welch,165227,19967,185194
25,M,Walter,Turner,141082,49775,190857
26,F,Louise,Morgan,108736,22296,131032
27,M,Albert,Parker,94086,4573,98659
28,M,Eugene,Snyder,120330,40970,161300
29,M,Gary,Rogers,135220,35046,170266
30,M,Jose,Jacobs,114896,27262,142158
31,M,Harry,Mendoza,69146,49810,118956
32,F,Sara,White,120714,63010,183724
33,M,Adam,Warren,78431,29624,108055
34,M,Russell,Adams,187893,48161,236054
35,F,Helen,Tucker,92330,50104,142434
36,F,Diane,Romero,98910,34386,133296
37,M,Wayne,Greene,92516,72845,165361
38,F,Lois,Richards,77910,36414,114324
39,M,Clarence,Adams,127930,10415,138345
40,F,Lois,Lawrence,142822,42794,185616
41,M,Antonio,White,131314,29142,160456
42,M,Larry,Cunningham,138231,52211,190442
43,M,Jimmy,Dunn,148751,42960,191711
44,M,Shawn,Thomas,82952,47258,130210
45,F,Anne,Moreno,115930,50189,166119
46,F,Evelyn,Jacobs,156240,56755,212995
47,M,Ronald,Baker,49630,41254,90884
48,M,Steve,Rice,132885,52398,185283
49,M,Thomas,Wood,126699,36663,163362
50,M,Randy,Turner,54535,66246,120781
51,F,Teresa,Anderson,113642,43250,156892
52,F,Martha,Knight,105095,11349,116444
53,M,Juan,Burke,103860,55889,159749
54,M,Mark,Rice,124958,42962,167920
55,M,Eugene,Butler,124252,9568,133820
56,F,Debra,Sullivan,99915,3915,103830
57,F,Jane,Hunt,149895,10004,159899
58,M,Carlos,Shaw,45088,50466,95554
59,F,Virginia,Vasquez,73069,-5936,67133
60,M,Jeremy,Crawford,117186,19573,136759
61,F,Catherine,Ferguson,158935,63592,222527
62,M,Charles,Shaw,108405,51808,160213
63,M,Walter,Nguyen,44949,27096,72045
64,F,Stephanie,Sims,142765,39925,182690
65,M,Kevin,Elliott,110536,37369,147905
66,F,Kimberly,Meyer,75853,40753,116606
67,F,Norma,Stanley,79336,48026,127362
68,M,Keith,Rose,142736,45511,188247
69,M,Carl,Mendoza,106076,1166,107242
70,M,Shawn,Myers,96261,34287,130548
71,M,Louis,Green,121527,29223,150750
72,M,Jack,Andrews,66487,8692,75179
73,F,Barbara,Nichols,77714,50080,127794
74,M,Gerald,Grant,113299,41900,155199
75,M,Keith,Boyd,91110,43108,134218
76,M,Randy,Carpenter,139833,29097,168930
77,M,Jason,Banks,167092,34021,201113
78,M,Martin,Thompson,152315,69715,222030
79,F,Jacqueline,Washington,140609,43838,184447
80,M,Joe,Porter,114495,34433,148928
81,F,Janice,Thomas,125266,10788,136054
82,F,Joan,Campbell,82563,92286,174849
83,M,Harold,Bowman,97740,59998,157738
84,F,Stephanie,Banks,183164,38477,221641
85,F,Lillian,Vasquez,50677,48327,99004
86,F,Lois,Rose,144674,42004,186678
87,M,Ernest,Stanley,57980,26244,84224
88,F,Cynthia,Lee,103397,41478,144875
89,F,Melissa,Dean,50970,14568,65538
90,M,Fred,Crawford,71979,58766,130745
91,F,Carol,Stewart,139577,59838,199415
92,M,Nicholas,Ramos,110891,34082,144973
93,F,Patricia,Rivera,7734,43420,51154
94,F,Judith,Frazier,123256,48101,171357
95,F,Andrea,Miller,131457,78825,210282
96,F,Maria,Hunter,150834,68855,219689
97,F,Louise,Bell,110173,42608,152781
98,F,Louise,Price,140935,37135,178070
99,M,Richard,Watson,115393,36571,151964
100,F,Carolyn,Mendoza,89675,60664,150339
