id	gender	first_name	last_name	salary	bonus	total
1	M	Aaron	Campbell	140970	16030	157000
2	F	Doris	Cole	19426	56026	75452
3	M	Joe	Marshall	147670	1871	149541
4	F	Judy	Mendoza	92649	25642	118291
5	F	Angela	Ramirez	104595	77518	182113
6	F	Debra	Morrison	135799	46553	182352
7	F	Ann	Greene	143496	43519	187015
8	M	Patrick	Rodriguez	158137	75194	233331
9	F	Tammy	Hughes	125983	29597	155580
10	F	Catherine	Ford	160017	35298	195315
11	F	Norma	Davis	169036	82248	251284
12	M	Carlos	Castillo	134079	47949	182028
13	M	Justin	Williamson	203187	21568	224755
14	F	Tammy	Allen	101364	8269	109633
15	M	Phillip	Medina	116530	43746	160276
16	F	Kimberly	Howard	99206	35527	134733
17	M	Todd	Bennett	113460	20185	133645
18	F	Jean	Cole	95141	21142	116283
19	F	Julia	Freeman	168552	-13371	155181
20	M	Matthew	Henderson	42070	48847	90917
21	F	Betty	Fields	124216	3255	127471
22	M	Walter	Knight	152126	37091	189217
23	M	George	Cunningham	128268	34439	162707
24	M	Alan	Frazier	93654	7571	101225
25	F	Stephanie	Alvarez	93027	73100	166127
26	F	Kathryn	Collins	133689	-20706	112983
27	M	Randy	Gutierrez	131946	39778	171724
28	F	Jessica	Gilbert	220422	55948	276370
29	M	Craig	Payne	50953	57824	108777
30	F	Elizabeth	Carr	162853	19621	182474
31	M	Benjamin	Ramos	139894	54367	194261
32	F	Janice	Howard	104874	25513	130387
33	F	Norma	Hicks	63391	50090	113481
34	M	Daniel	Banks	32537	43582	76119
35	M	Donald	Garcia	128839	41252	170091
36	F	Linda	Austin	103255	14566	117821
37	F	Julie	Stephens	103907	34496	138403
38	F	Rebecca	Diaz	181267	77130	258397
39	M	Eugene	Murphy	109366	57317	166683
40	F	Debra	Gomez	156583	41976	198559
41	F	Kelly	Stevens	132921	46229	179150
42	M	Jason	Powell	117174	41215	158389
43	M	Jeffrey	Daniels	149928	56661	206589
44	F	Julia	Baker	93972	36240	130212
45	F	Laura	Berry	106766	56531	163297
46	F	Donna	Hicks	189447	67257	256704
47	F	Louise	Fowler	102070	35399	137469
48	F	Heather	Duncan	109149	43379	152528
49	F	Donna	Garcia	127119	88258	215377
50	F	Angela	Hunt	148776	31944	180720
51	F	Rachel	Scott	63413	40684	104097
52	F	Denise	Green	150769	14748	165517
53	M	Peter	Cox	87949	65158	153107
54	M	Keith	Phillips	146856	15831	162687
55	M	Gerald	Reynolds	128086	57723	185809
56	F	Janet	Miller	171731	10200	181931
57	M	Keith	George	94073	36511	130584
58	F	Betty	Watkins	87981	23791	111772
59	M	Donald	Bowman	83562	49991	133553
60	M	Howard	Dixon	117141	40659	157800
61	M	Jimmy	Roberts	120908	22959	143867
62	M	Ralph	Hanson	80056	22991	103047
63	M	Justin	Green	131614	50330	181944
64	M	Timothy	Williams	202767	40725	243492
65	M	Albert	Moreno	101024	42436	143460
66	M	Benjamin	Arnold	83331	37297	120628
67	M	Patrick	Taylor	116785	43961	160746
68	F	Lisa	Kennedy	149230	20941	170171
69	M	Jerry	Perry	140594	57373	197967
70	F	Theresa	Woods	117232	72832	190064
71	F	Susan	Woods	28811	20867	49678
72	F	Amanda	Griffin	100286	36603	136889
73	M	Nicholas	Duncan	143954	24476	168430
74	F	Melissa	Weaver	114161	56671	170832
75	F	Janice	Warren	135968	6816	142784
76	M	Stephen	Martinez	110612	85484	196096
77	F	Martha	Jordan	108967	44221	153188
78	M	Patrick	Cook	73576	54037	127613
79	F	Lisa	Robinson	145805	12529	158334
80	M	Larry	Coleman	130024	25500	155524
81	F	Janet	Perry	125684	32403	158087
82	M	Arthur	Alexander	106793	31076	137869
83	F	Virginia	Hamilton	72473	36854	109327
84	M	Christopher	Ramos	142098	33394	175492
85	F	Carol	Olson	105143	52931	158074
86	M	Lawrence	Price	107004	25417	132421
87	M	Kevin	Daniels	147421	45849	193270
88	F	Rachel	Johnson	154973	59245	214218
89	F	Melissa	Collins	142098	73546	215644
90	M	Christopher	George	137825	28373	166198
91	M	Frank	Collins	126605	44505	171110
92	M	Stephen	Stone	126161	63036	189197
93	F	Rachel	Nguyen	98065	55735	153800
94	M	David	Ward	119507	7637	127144
95	M	Bobby	Stone	64181	29092	93273
96	F	Lillian	King	74282	-23499	50783
97	F	Anna	Coleman	132070	27253	159323
98	M	Joshua	Perkins	124529	37117	161646
99	F	Norma	Moore	73728	66026	139754
100	M	Carl	Collins	120927	61693	182620
