gender,first_name,last_name,total
F,Susan,Woods,49678
F,Lillian,King,50783
F,Doris,Cole,75452
M,Daniel,Banks,76119
M,Matthew,Henderson,90917
M,Bobby,Stone,93273
M,Alan,Frazier,101225
M,Ralph,Hanson,103047
F,Rachel,Scott,104097
M,Craig,Payne,108777
F,Virginia,Hamilton,109327
F,Tammy,Allen,109633
F,Betty,Watkins,111772
F,Kathryn,Collins,112983
F,Norma,Hicks,113481
F,Jean,Cole,116283
F,Linda,Austin,117821
F,Judy,Mendoza,118291
M,Benjamin,Arnold,120628
M,David,Ward,127144
F,Betty,Fields,127471
M,Patrick,Cook,127613
F,Julia,Baker,130212
F,Janice,Howard,130387
M,Keith,George,130584
M,Lawrence,Price,132421
M,Donald,Bowman,133553
M,Todd,Bennett,133645
F,Kimberly,Howard,134733
F,Amanda,Griffin,136889
F,Louise,Fowler,137469
M,Arthur,Alexander,137869
F,Julie,Stephens,138403
F,Norma,Moore,139754
F,Janice,Warren,142784
M,Albert,Moreno,143460
M,Jimmy,Roberts,143867
M,Joe,Marshall,149541
F,Heather,Duncan,152528
M,Peter,Cox,153107
F,Martha,Jordan,153188
F,Rachel,Nguyen,153800
F,Julia,Freeman,155181
M,Larry,Coleman,155524
F,Tammy,Hughes,155580
M,Aaron,Campbell,157000
M,Howard,Dixon,157800
F,Carol,Olson,158074
F,Janet,Perry,158087
F,Lisa,Robinson,158334
M,Jason,Powell,158389
F,Anna,Coleman,159323
M,Phillip,Medina,160276
M,Patrick,Taylor,160746
M,Joshua,Perkins,161646
M,Keith,Phillips,162687
M,George,Cunningham,162707
F,Laura,Berry,163297
F,Denise,Green,165517
F,Stephanie,Alvarez,166127
M,Christopher,George,166198
M,Eugene,Murphy,166683
M,Nicholas,Duncan,168430
M,Donald,Garcia,170091
F,Lisa,Kennedy,170171
F,Melissa,Weaver,170832
M,Frank,Collins,171110
M,Randy,Gutierrez,171724
M,Christopher,Ramos,175492
F,Kelly,Stevens,179150
F,Angela,Hunt,180720
F,Janet,Miller,181931
M,Justin,Green,181944
M,Carlos,Castillo,182028
F,Angela,Ramirez,182113
F,Debra,Morrison,182352
F,Elizabeth,Carr,182474
M,Carl,Collins,182620
M,Gerald,Reynolds,185809
F,Ann,Greene,187015
M,Stephen,Stone,189197
M,Walter,Knight,189217
F,Theresa,Woods,190064
M,Kevin,Daniels,193270
M,Benjamin,Ramos,194261
F,Catherine,Ford,195315
M,Stephen,Martinez,196096
M,Jerry,Perry,197967
F,Debra,Gomez,198559
M,Jeffrey,Daniels,206589
F,Rachel,Johnson,214218
F,Donna,Garcia,215377
F,Melissa,Collins,215644
M,Justin,Williamson,224755
M,Patrick,Rodriguez,233331
M,Timothy,Williams,243492
F,Norma,Davis,251284
F,Donna,Hicks,256704
F,Rebecca,Diaz,258397
F,Jessica,Gilbert,276370
